config,client,run_number,run_id,wh_winner,wh_bid_delta,wh_south_score,wh_central_score,wh_north_score,est_winner,est_bid_delta,cost_score,speed_score
C0,freshco,1,14c503ab-a83d-4647-b48d-b13d56d57295,warehouse-south,0.36,0.6987728745943124,0.33872811423355653,0.3197063753477192,cost-estimator,0.3759,0.6955438934007844,0.31963131918233917
C0,freshco,2,2bd9ecc0-396c-42f9-9c53-054afeac91eb,warehouse-south,0.3779,0.6976937205140764,0.31974868631784836,0.31934724052326324,cost-estimator,0.3754,0.6946260173349464,0.31926444196073644
C0,freshco,3,79261ab7-a182-42dd-8140-12a435647146,warehouse-south,0.3513,0.6992373596938201,0.3479205151663385,0.31936853483441935,cost-estimator,0.3792,0.6990520383126394,0.3198405204630783
C0,freshco,4,290b05c0-1186-476e-a4d1-ca0bf961933c,warehouse-south,0.35,0.6995240899380657,0.34951650221608166,0.3492613695709206,cost-estimator,0.3805,0.6996060446263945,0.31907530634980186
C0,freshco,5,1f42ac79-c1f0-42f8-9cc5-12d16f370da2,warehouse-south,0.35,0.6994266920775961,0.349384385647027,0.34940553211829395,cost-estimator,0.3803,0.698878419911083,0.31856392700812775
C0,techparts,1,93e6bf5f-f866-4aca-a1c7-5f950cbd8e75,warehouse-central,0.222,0.4769364923044993,0.6989546421326466,0.36177559594022324,cost-estimator,0.381,0.6994726096886926,0.31849807026816906
C0,techparts,2,580b5f22-95dd-4ea2-a372-e1aec114fa93,warehouse-central,0.2176,0.4816698690335397,0.6992702862297292,0.37916925729093687,cost-estimator,0.3509,0.6998267308087116,0.3489182073339747
C0,techparts,4,3846c660-b125-416c-9060-34bbff25421c,warehouse-central,0.2025,0.46962245828115934,0.6998567617517265,0.49736809824049866,cost-estimator,0.3461,0.6957072867778449,0.34962569461629234
C0,techparts,5,54b2d97d-71ab-4956-b057-2273d3e288b7,warehouse-central,0.2275,0.47205719123020273,0.6995712225372118,0.4395061182482347,cost-estimator,0.35,0.699299735556534,0.3493012060231909
C0,greenleaf,1,a1770537-8948-480c-af37-8ff6742750c0,warehouse-central,0.2262,0.4736085923485307,0.6997789351264979,0.4531526047820398,speed-estimator,0.1413,0.46805722934693816,0.6094024972484824
C0,greenleaf,2,ba6235cc-cdec-4eb8-ad43-fbd62284f1cd,warehouse-central,0.2177,0.481514249384592,0.6992083195426381,0.44327814153009104,speed-estimator,0.2275,0.4696888385267828,0.6972008834617273
C0,greenleaf,3,67885b1d-5397-4b4b-bf84-13933e844d0c,warehouse-central,0.2252,0.4744520357358837,0.6996577938014382,0.471437692010641,speed-estimator,0.2289,0.46945468288405856,0.6983507421522
C0,greenleaf,4,edafe3c8-e5b4-482b-896a-6a7c3979c059,warehouse-central,0.219,0.4806133880851827,0.699630093335715,0.4761639579248872,speed-estimator,0.2314,0.46780173611119336,0.6992377389686067
C0,greenleaf,5,12fb3f59-5c9f-4a8a-862c-cd181d9bba23,warehouse-central,0.2198,0.4800094551706743,0.6998164535878683,0.46975196744754066,speed-estimator,0.2272,0.46980320320253743,0.6969938265209923
C0,quickship,1,ab51aca3-c842-4d46-88f2-f13b01c2775f,warehouse-south,0.229,0.6997428052727334,0.47070111214554256,0.46973269762058967,cost-estimator,0.2299,0.6998153856979495,0.46989644002660125
C0,quickship,2,3d3c94e3-f804-4b75-940e-c0f529b4b5e6,warehouse-south,0.2172,0.6996087269284599,0.4698405690842554,0.48240372365119244,cost-estimator,0.2298,0.6997484738322481,0.4699019013148399
C0,quickship,3,8458fa9f-3c4f-4f68-a8b1-3f7a660aabfb,warehouse-south,0.2311,0.6997749880001445,0.46862789860363097,0.46862617285922825,cost-estimator,0.2307,0.699839972825277,0.4691053237180587
C0,quickship,4,6b5cd669-9491-4cf1-b896-999994bef6bd,warehouse-south,0.2305,0.6997810643404325,0.46932036784092324,0.46931711072450577,cost-estimator,0.2308,0.6998387490024152,0.4690590671288347
C0,quickship,5,0b6b0463-140a-45ad-b5a6-e0de0d53111c,warehouse-south,0.23,0.6997612888593797,0.46974094625599194,0.46971845927011713,cost-estimator,0.23,0.6998532783255671,0.4698239258048945
C0,nordicsteel,1,7b89d2da-db8e-4088-94a5-70177e1ec875,warehouse-north,0.2185,0.4814014255425716,0.4712043666372544,0.6999132217940628,cost-estimator,0.2302,0.4695204562298222,0.6996738333518905
C0,nordicsteel,2,855e9675-1f4c-4087-8db7-fd4b0a58366f,warehouse-north,0.2182,0.47947905598236995,0.4689345742216059,0.6976849936345515,speed-estimator,0.2292,0.46980650950814096,0.6990456715422638
C0,nordicsteel,3,a339ecbf-77b4-43aa-81c1-53029db2d904,warehouse-north,0.2188,0.48063814370274116,0.4711675621667111,0.6994339526840476,speed-estimator,0.2285,0.46966325291366195,0.6981661295732957
C0,nordicsteel,4,6a64febd-1dd9-4ebc-bd85-8ce9a77d955c,warehouse-north,0.2196,0.47973081962876485,0.47030410832709924,0.6992930466751364,speed-estimator,0.2301,0.4692381968507542,0.6993011435715573
C0,nordicsteel,5,7691448f-0c63-41e0-ba12-b2a47cc12bf7,warehouse-north,0.219,0.4790905883104517,0.46846629047565425,0.6980569088498555,speed-estimator,0.2288,0.4692867190253597,0.6980698167359852
C1,freshco,1,da53e3a7-2970-41bf-9b43-4c3529514b07,warehouse-south,0.109,0.6247628897121307,0.5158030799383648,0.5158037880183538,cost-estimator,0.1102,0.6248108723431607,0.5145611642249773
C1,freshco,2,6d37dd05-6127-4cc4-9347-77e1968108b4,warehouse-south,0.2752,0.6247303495531866,0.34956597065277606,0.3495581951807929,cost-estimator,0.2753,0.6247026281390387,0.3493569817798001
C1,freshco,3,e20da540-f764-4985-8cf2-dddcf68b630b,warehouse-south,0.2747,0.6245176616934349,0.34977233988417067,0.3497918136440986,cost-estimator,0.2741,0.6239972955245547,0.3498884141303127
C1,freshco,4,3656d65f-2206-427e-9147-bf5b86e3bc1b,warehouse-south,0.2756,0.6247548382046882,0.34919096116947496,0.34918707212085154,cost-estimator,0.275,0.6247193368980062,0.34970306069207335
C1,freshco,5,1e1d7b46-11a9-4b45-8005-786d2d00a4b1,warehouse-south,0.2752,0.6248621550038381,0.3496328672396365,0.3496494805485434,cost-estimator,0.2749,0.6248333333767071,0.3499103673690894
