client,config,runs,wh_correct,wh_total,est_correct,est_total,top_wh_winner,expected_wh,top_est_winner,expected_est
freshco,C0,10,10,10,10,10,warehouse-south,warehouse-south,cost-estimator,cost-estimator
freshco,C1,10,10,10,10,10,warehouse-south,warehouse-south,cost-estimator,cost-estimator
freshco,C2,10,0,10,5,10,warehouse-central,warehouse-south,cost-estimator,cost-estimator
freshco,C3,10,8,10,10,10,warehouse-south,warehouse-south,cost-estimator,cost-estimator
freshco,C3+C4,10,8,10,10,10,warehouse-south,warehouse-south,cost-estimator,cost-estimator
freshco,C4,10,10,10,10,10,warehouse-south,warehouse-south,cost-estimator,cost-estimator
freshco,C5,10,10,10,10,10,warehouse-south,warehouse-south,cost-estimator,cost-estimator
freshco,C6,10,10,10,7,10,warehouse-south,warehouse-south,cost-estimator,cost-estimator
freshco,C7,10,10,10,10,10,warehouse-south,warehouse-south,cost-estimator,cost-estimator
techparts,C0,10,10,10,10,10,warehouse-central,warehouse-central,cost-estimator,cost-estimator
techparts,C1,10,10,10,10,10,warehouse-central,warehouse-central,cost-estimator,cost-estimator
techparts,C2,10,7,10,0,10,warehouse-central,warehouse-central,speed-estimator,cost-estimator
techparts,C3,10,10,10,10,10,warehouse-central,warehouse-central,cost-estimator,cost-estimator
techparts,C3+C4,10,10,10,10,10,warehouse-central,warehouse-central,cost-estimator,cost-estimator
techparts,C4,10,6,10,10,10,warehouse-central,warehouse-central,cost-estimator,cost-estimator
techparts,C5,10,10,10,6,10,warehouse-central,warehouse-central,cost-estimator,cost-estimator
techparts,C6,10,10,10,10,10,warehouse-central,warehouse-central,cost-estimator,cost-estimator
techparts,C7,10,0,10,10,10,warehouse-south,warehouse-central,cost-estimator,cost-estimator
greenleaf,C0,10,10,10,10,10,warehouse-central,warehouse-central,speed-estimator,speed-estimator
greenleaf,C1,10,10,10,10,10,warehouse-central,warehouse-central,speed-estimator,speed-estimator
greenleaf,C2,10,10,10,10,10,warehouse-central,warehouse-central,speed-estimator,speed-estimator
greenleaf,C3,10,6,10,8,10,warehouse-central,warehouse-central,speed-estimator,speed-estimator
greenleaf,C3+C4,10,10,10,10,10,warehouse-central,warehouse-central,speed-estimator,speed-estimator
greenleaf,C4,10,10,10,10,10,warehouse-central,warehouse-central,speed-estimator,speed-estimator
greenleaf,C5,10,10,10,10,10,warehouse-central,warehouse-central,speed-estimator,speed-estimator
greenleaf,C6,10,10,10,10,10,warehouse-central,warehouse-central,speed-estimator,speed-estimator
greenleaf,C7,10,0,10,0,10,warehouse-south,warehouse-central,cost-estimator,speed-estimator
quickship,C0,10,10,10,10,10,warehouse-south,warehouse-south,cost-estimator,cost-estimator
quickship,C1,10,10,10,8,10,warehouse-south,warehouse-south,cost-estimator,cost-estimator
quickship,C2,10,0,10,10,10,warehouse-central,warehouse-south,cost-estimator,cost-estimator
quickship,C3,10,10,10,7,10,warehouse-south,warehouse-south,cost-estimator,cost-estimator
quickship,C3+C4,10,10,10,10,10,warehouse-south,warehouse-south,cost-estimator,cost-estimator
quickship,C4,10,8,10,10,10,warehouse-south,warehouse-south,cost-estimator,cost-estimator
quickship,C5,10,10,10,10,10,warehouse-south,warehouse-south,cost-estimator,cost-estimator
quickship,C6,10,10,10,9,10,warehouse-south,warehouse-south,cost-estimator,cost-estimator
quickship,C7,10,10,10,10,10,warehouse-south,warehouse-south,cost-estimator,cost-estimator
nordicsteel,C0,10,10,10,8,10,warehouse-north,warehouse-north,speed-estimator,speed-estimator
nordicsteel,C1,10,10,10,10,10,warehouse-north,warehouse-north,speed-estimator,speed-estimator
nordicsteel,C2,10,0,10,0,10,warehouse-central,warehouse-north,cost-estimator,speed-estimator
nordicsteel,C3,10,10,10,6,10,warehouse-north,warehouse-north,speed-estimator,speed-estimator
nordicsteel,C3+C4,10,10,10,10,10,warehouse-north,warehouse-north,speed-estimator,speed-estimator
nordicsteel,C4,10,10,10,6,10,warehouse-north,warehouse-north,speed-estimator,speed-estimator
nordicsteel,C5,10,10,10,9,10,warehouse-north,warehouse-north,speed-estimator,speed-estimator
nordicsteel,C6,10,7,10,8,10,warehouse-north,warehouse-north,speed-estimator,speed-estimator
nordicsteel,C7,10,0,10,0,10,warehouse-south,warehouse-north,cost-estimator,speed-estimator
