client,config,runs,passed,avg_blocks,avg_warnings,scoped
freshco,C0,10,0,2.0,4.0,10
freshco,C1,10,0,2.0,4.0,10
freshco,C2,10,0,2.0,4.0,10
freshco,C3,10,0,2.0,4.0,10
freshco,C3+C4,10,5,0.0,0.0,0
freshco,C4,10,5,0.0,0.0,0
freshco,C5,10,0,2.0,4.0,10
freshco,C6,10,0,2.0,4.0,10
freshco,C7,10,5,0.0,0.0,0
techparts,C0,10,10,0.0,2.6,10
techparts,C1,10,10,0.0,3.0,10
techparts,C2,10,8,1.4,5.1,10
techparts,C3,10,10,0.0,3.0,10
techparts,C3+C4,10,5,0.0,0.0,0
techparts,C4,10,5,0.0,0.0,0
techparts,C5,10,10,0.0,3.0,10
techparts,C6,10,10,0.0,3.0,10
techparts,C7,10,5,0.0,0.0,0
greenleaf,C0,10,0,5.0,4.0,10
greenleaf,C1,10,0,5.0,4.0,10
greenleaf,C2,10,0,5.0,4.0,10
greenleaf,C3,10,0,5.0,4.0,10
greenleaf,C3+C4,10,5,0.0,0.0,0
greenleaf,C4,10,5,0.0,0.0,0
greenleaf,C5,10,0,5.0,4.0,10
greenleaf,C6,10,0,7.7,7.6,9
greenleaf,C7,10,5,0.0,0.0,0
quickship,C0,10,10,0.0,0.6,10
quickship,C1,10,10,0.0,1.0,10
quickship,C2,10,10,0.0,0.5,10
quickship,C3,10,10,0.0,1.0,10
quickship,C3+C4,10,5,0.0,0.0,0
quickship,C4,10,5,0.0,0.0,0
quickship,C5,10,10,0.0,0.8,10
quickship,C6,10,10,0.0,1.0,10
quickship,C7,10,5,0.0,0.0,0
nordicsteel,C0,10,8,2.8,5.8,4
nordicsteel,C1,10,10,0.0,2.0,10
nordicsteel,C2,10,10,0.0,2.0,10
nordicsteel,C3,10,10,0.0,1.6,10
nordicsteel,C3+C4,10,5,0.0,0.0,0
nordicsteel,C4,10,5,0.0,0.0,0
nordicsteel,C5,10,10,0.0,2.0,10
nordicsteel,C6,10,10,0.0,2.0,10
nordicsteel,C7,10,5,0.0,0.0,0
