config,client,run_number,assignment_accuracy,warehouse_correct,estimator_correct,latency_seconds
C0,freshco,1,1.0,True,True,440.6
C0,freshco,1,0.0,False,False,60
C0,freshco,1,0.5,False,True,408.8
C0,freshco,2,1.0,True,True,559.8
C0,freshco,2,0.0,False,False,388.7
C0,freshco,2,1.0,True,True,889.2
C0,freshco,3,1.0,True,True,208.8
C0,freshco,3,0.5,False,True,148.1
C0,freshco,4,1.0,True,True,174.2
C0,freshco,4,0.5,False,True,130.7
C0,freshco,5,1.0,True,True,185.1
C0,freshco,5,0.0,False,False,588.5
C0,freshco,6,1.0,True,True,60
C0,freshco,6,1.0,True,True,290.7
C0,freshco,7,1.0,True,True,261.8
C0,freshco,7,0.5,True,False,455.7
C0,freshco,8,1.0,True,True,239.3
C0,freshco,8,0.0,False,False,244.9
C0,freshco,9,1.0,True,True,287.9
C0,freshco,9,1.0,True,True,418.4
C0,freshco,10,1.0,True,True,492.0
C0,freshco,10,0.5,False,True,645.6
C0,freshco,11,1.0,True,True,446.8
C0,freshco,12,1.0,True,True,161.3
C0,freshco,13,1.0,True,True,519.3
C0,freshco,14,1.0,True,True,100.2
C0,freshco,15,1.0,True,True,240.1
C0,freshco,16,1.0,True,True,407.4
C0,freshco,17,0.5,True,False,171.4
C0,freshco,18,1.0,True,True,424.7
C0,freshco,19,1.0,True,True,60
C0,freshco,20,1.0,True,True,358.1
C0,freshco,21,1.0,True,True,185.6
C0,freshco,22,0.5,False,True,488.3
C0,freshco,23,1.0,True,True,429.9
C0,freshco,24,1.0,True,True,146.6
C0,freshco,25,1.0,True,True,328.6
C0,freshco,26,1.0,True,True,201.8
C0,freshco,27,1.0,True,True,507.7
C0,freshco,28,1.0,True,True,371.1
C0,freshco,29,0.5,True,False,914.5
C0,freshco,30,1.0,True,True,259.1
C0,greenleaf,1,1.0,True,True,264.8
C0,greenleaf,1,0.0,False,False,234.7
C0,greenleaf,1,1.0,True,True,283.4
C0,greenleaf,2,1.0,True,True,280.2
C0,greenleaf,2,1.0,True,True,276.5
C0,greenleaf,2,0.5,False,True,275.3
C0,greenleaf,3,1.0,True,True,236.6
C0,greenleaf,3,0.5,True,False,233.0
C0,greenleaf,4,1.0,True,True,219.2
C0,greenleaf,4,0.0,False,False,238.7
C0,greenleaf,5,1.0,True,True,186.0
