priority,config,cost_wins,speed_wins,total
critical,C0,0,10,10
high,C0,22,8,30
medium,C0,10,0,10
critical,C1,0,10,10
high,C1,20,10,30
medium,C1,8,2,10
critical,C2,0,10,10
high,C2,15,15,30
medium,C2,10,0,10
critical,C3,2,8,10
high,C3,24,6,30
medium,C3,7,3,10
critical,C3+C4,0,10,10
high,C3+C4,20,10,30
medium,C3+C4,10,0,10
critical,C4,0,10,10
high,C4,24,6,30
medium,C4,10,0,10
critical,C5,0,10,10
high,C5,17,13,30
medium,C5,10,0,10
critical,C6,0,10,10
high,C6,19,11,30
medium,C6,9,1,10
critical,C7,10,0,10
high,C7,30,0,30
medium,C7,10,0,10
