config,client,run_number,username,pipeline_id,run_id,status,warehouse_winner,warehouse_expected,warehouse_correct,estimator_winner,estimator_expected,estimator_correct,assignment_accuracy,compliance_passed,compliance_blocks,compliance_warnings,compliance_scoped,plan_id,plan_valid,shacl_conforms,shacl_disabled,strategy_present,ethics_present,latency_seconds,started_at,finished_at,tasks_completed,tasks_failed,tasks_pending,tasks_total,warehouse_bid_scores,warehouse_bid_delta,estimator_bid_scores,estimator_bid_delta,pheromone_intensities,token_input,token_output,token_total,failure_injected_at,recovery_time,recovery_success,error,experiment
C0,freshco,1,default,eb595973-d0cf-49b1-8e13-8e92dbf283f9,14c503ab-a83d-4647-b48d-b13d56d57295,COMPLETED,warehouse-south,warehouse-south,True,cost-estimator,cost-estimator,True,1.0,False,2,4,True,3724ac68-dae6-4dac-ba34-c92930838fc9,True,True,False,True,True,440.6,2026-03-30T21:15:27.824227+00:00,2026-03-30T21:22:48.392375+00:00,12,0,0,12,"{'warehouse-south': 0.6987728745943124, 'warehouse-central': 0.33872811423355653, 'warehouse-north': 0.3197063753477192}",0.36,"{'cost-estimator': 0.6955438934007844, 'speed-estimator': 0.31963131918233917}",0.3759,{'warehouse-south': 1},20942,10471,31413,,0.0,False,,ablation
C0,freshco,2,default,43441da4-419b-4a8d-920e-3ed303939c6e,2bd9ecc0-396c-42f9-9c53-054afeac91eb,COMPLETED,warehouse-south,warehouse-south,True,cost-estimator,cost-estimator,True,1.0,False,2,4,True,f6c7eb17-a857-4efe-9f1c-99bc86e266db,True,True,False,True,True,559.8,2026-03-30T21:23:09.295023+00:00,2026-03-30T21:32:29.112719+00:00,12,0,0,12,"{'warehouse-south': 0.6976937205140764, 'warehouse-central': 0.31974868631784836, 'warehouse-north': 0.31934724052326324}",0.3779,"{'cost-estimator': 0.6946260173349464, 'speed-estimator': 0.31926444196073644}",0.3754,{'warehouse-south': 1},22244,11122,33366,,0.0,False,,ablation
C0,freshco,3,default,c7b2edcd-1e07-473e-9926-3109ad81de5b,79261ab7-a182-42dd-8140-12a435647146,COMPLETED,warehouse-south,warehouse-south,True,cost-estimator,cost-estimator,True,1.0,False,2,4,True,f18a1818-29f6-4427-9744-c777d785b558,True,True,False,True,True,208.8,2026-03-30T21:32:43.101335+00:00,2026-03-30T21:36:11.864427+00:00,12,0,0,12,"{'warehouse-south': 0.6992373596938201, 'warehouse-central': 0.3479205151663385, 'warehouse-north': 0.31936853483441935}",0.3513,"{'cost-estimator': 0.6990520383126394, 'speed-estimator': 0.3198405204630783}",0.3792,"{'warehouse-south': 1, 'warehouse-central': 0.2}",22768,11384,34152,,0.0,False,,ablation
C0,freshco,4,default,ddea9e94-29a4-4b40-af18-194c6e9fea7d,290b05c0-1186-476e-a4d1-ca0bf961933c,COMPLETED,warehouse-south,warehouse-south,True,cost-estimator,cost-estimator,True,1.0,False,2,4,True,d249a5e2-95ef-41a8-aa4b-52fbff8b6604,False,,False,True,True,174.2,2026-03-30T21:36:32.410049+00:00,2026-03-30T21:39:26.595044+00:00,12,0,0,12,"{'warehouse-south': 0.6995240899380657, 'warehouse-central': 0.34951650221608166, 'warehouse-north': 0.3492613695709206}",0.35,"{'cost-estimator': 0.6996060446263945, 'speed-estimator': 0.31907530634980186}",0.3805,"{'warehouse-south': 1, 'warehouse-north': 0.2}",22530,11265,33795,,0.0,False,,ablation
C0,freshco,5,default,c95c11fc-7937-4b3e-a701-aa390b7dd7cd,1f42ac79-c1f0-42f8-9cc5-12d16f370da2,COMPLETED,warehouse-south,warehouse-south,True,cost-estimator,cost-estimator,True,1.0,False,2,4,True,f3ae833e-7d39-467f-822c-fd39730de597,True,True,False,True,True,185.1,2026-03-30T21:39:40.143520+00:00,2026-03-30T21:42:45.268802+00:00,12,0,0,12,"{'warehouse-south': 0.6994266920775961, 'warehouse-north': 0.34940553211829395, 'warehouse-central': 0.349384385647027}",0.35,"{'cost-estimator': 0.698878419911083, 'speed-estimator': 0.31856392700812775}",0.3803,{'warehouse-south': 1},22854,11427,34281,,0.0,False,,ablation
C0,techparts,1,default,6e0199bd-c2ad-41d2-94f7-1cbb4261f9e3,93e6bf5f-f866-4aca-a1c7-5f950cbd8e75,COMPLETED,warehouse-central,warehouse-central,True,cost-estimator,cost-estimator,True,1.0,True,0,3,True,6713ebeb-a56c-40c3-b766-50c3debc5796,True,True,False,True,True,203.8,2026-03-30T21:43:09.697931+00:00,2026-03-30T21:46:33.543485+00:00,12,0,0,12,"{'warehouse-central': 0.6989546421326466, 'warehouse-south': 0.4769364923044993, 'warehouse-north': 0.36177559594022324}",0.222,"{'cost-estimator': 0.6994726096886926, 'speed-estimator': 0.31849807026816906}",0.381,{'warehouse-central': 1},21308,10654,31962,,0.0,False,,ablation
C0,techparts,2,default,02b6843b-4590-41cb-bb22-4dda4deb15fa,580b5f22-95dd-4ea2-a372-e1aec114fa93,COMPLETED,warehouse-central,warehouse-central,True,cost-estimator,cost-estimator,True,1.0,True,0,2,True,8fda07a8-a7c6-4f3d-803e-5304ac5bc33d,True,True,False,True,True,159.1,2026-03-30T21:46:42.518897+00:00,2026-03-30T21:49:21.629423+00:00,12,0,0,12,"{'warehouse-central': 0.6992702862297292, 'warehouse-south': 0.4816698690335397, 'warehouse-north': 0.37916925729093687}",0.2176,"{'cost-estimator': 0.6998267308087116, 'speed-estimator': 0.3489182073339747}",0.3509,{},20364,10182,30546,,0.0,False,,ablation
C0,techparts,4,default,b4fe197a-d876-453c-99e9-1b8778c6c89a,3846c660-b125-416c-9060-34bbff25421c,COMPLETED,warehouse-central,warehouse-central,True,cost-estimator,cost-estimator,True,1.0,True,0,3,True,92ce01ff-8944-4b2c-a962-f2759af1b76e,True,True,False,True,True,395.8,2026-03-30T21:50:47.152283+00:00,2026-03-30T21:57:22.977994+00:00,12,0,0,12,"{'warehouse-central': 0.6998567617517265, 'warehouse-north': 0.49736809824049866, 'warehouse-south': 0.46962245828115934}",0.2025,"{'cost-estimator': 0.6957072867778449, 'speed-estimator': 0.34962569461629234}",0.3461,{'warehouse-central': 1},23598,11799,35397,,0.0,False,,ablation
C0,techparts,5,default,91b08abb-9cd5-497e-ab15-1e451426e687,54b2d97d-71ab-4956-b057-2273d3e288b7,COMPLETED,warehouse-central,warehouse-central,True,cost-estimator,cost-estimator,True,1.0,True,0,3,True,bff6c63c-fedf-4f33-81a9-e3ee36ad9292,True,True,False,True,True,189.0,2026-03-30T21:57:43.704694+00:00,2026-03-30T22:00:52.715203+00:00,12,0,0,12,"{'warehouse-central': 0.6995712225372118, 'warehouse-south': 0.47205719123020273, 'warehouse-north': 0.4395061182482347}",0.2275,"{'cost-estimator': 0.699299735556534, 'speed-estimator': 0.3493012060231909}",0.35,"{'warehouse-central': 1, 'warehouse-north': 0.8}",22638,11319,33957,,0.0,False,,ablation
C0,greenleaf,1,default,e0c148e5-2e21-407f-8257-40b1bb187d08,a1770537-8948-480c-af37-8ff6742750c0,COMPLETED,warehouse-central,warehouse-central,True,speed-estimator,speed-estimator,True,1.0,False,5,4,True,3bd85e94-5cdd-42af-9cfa-78edd363076f,True,True,False,True,True,264.8,2026-03-30T22:01:07.362846+00:00,2026-03-30T22:05:32.127770+00:00,12,0,0,12,"{'warehouse-central': 0.6997789351264979, 'warehouse-south': 0.4736085923485307, 'warehouse-north': 0.4531526047820398}",0.2262,"{'speed-estimator': 0.6094024972484824, 'cost-estimator': 0.46805722934693816}",0.1413,{'warehouse-central': 1},23594,11797,35391,,0.0,False,,ablation
